Card_Name,Tier,Type,Cost,Win_Rate,Avg_Balance_At_Purchase,Bankruptcy_Prevention_Rate,Audit_Success_Rate,Purchase_Count,Avg_Turns_Held
"Greedy Snout",Common,Passive,5000,0.48,15000,0.12,0.15,2450,14.5
"Market Rumours",Common,Active,2500,0.22,-5000,0.08,0.88,4100,0.5
"Silk Purse",Rare,Defensive,25000,0.52,40000,0.65,0.25,1200,8.2
"Tax Evasion",Rare,Active,15000,0.42,-25000,0.82,0.12,1800,1.2
"Corporate Raid",Epic,Active,65000,0.72,120000,0.08,0.45,450,2.1
"Bailout",Epic,Defensive,55000,0.14,-60000,0.28,0.05,320,1.0
"Insider Trade",Epic,Active,75000,0.88,180000,0.02,0.96,180,3.5
"Slop Bucket",Common,Passive,8000,0.18,10000,0.04,0.12,3200,11.0
"Auditor's Badge",Rare,Active,20000,0.35,35000,0.18,0.94,1500,1.0
"Golden Trough",Epic,Passive,120000,0.92,200000,0.95,0.08,120,22.0
"Loan Shark",Rare,Passive,10000,0.38,-15000,0.45,0.20,2100,5.8
